customer_id,oborot_month,trans_month,trans_vs_med,prih_month_all,prih_month_vs_med,prih_month_cash,prih_cash_part,rash_month_all,rash_month_vs_med,rash_month_cash,rash_cash_part,rash_prih_ratio
6815,444170.72,15.066666,0.6955986,180436.86,0.89865768,15736.384,8.7212197E-2,263733.88,0.40014699,214110.64,0.81184053,1.4616326
22899,817842.88,15.6,0.72022158,387928.19,1.9320589,278538.47,0.7180137,429914.66,0.65228277,182218.64,0.42384741,1.1082296
27914,253119.08,7.4000001,0.34164357,27325.313,0.1360925,27325.313,0.9999634,225793.77,0.34258285,203929.16,0.90316153,8.2628698
28753,7864073.5,19.6,0.90489382,3047160.5,15.176246,274001.72,8.9920312E-2,4816913.0,7.3084021,783495.19,0.16265503,1.5807868
31385,312178.16,24.333332,1.1234226,83422.297,0.415481,28448.268,0.34101108,228755.88,0.34707707,94627.922,0.41366154,2.7421103
38084,3646366.0,63.466667,2.9301324,1757496.5,8.7531319,1297390.6,0.73820347,1888869.6,2.8658645,364886.47,0.19317704,1.0747496
42096,1783873.5,62.400002,2.8808863,707622.56,3.5242825,548452.63,0.77506268,1076250.9,1.6329286,542609.56,0.50416589,1.5209371
49101,273373.47,3.466666,0.16004921,69473.664,0.34601045,0.0,0.0,203899.8,0.30936447,127268.56,0.62416905,2.93488
49793,1717037.0,34.200001,1.5789474,40875.668,0.20357943,25378.848,0.62086391,1676161.3,2.5431354,1547136.5,0.9230231,41.005329
50940,121170.08,7.8666658,0.36318865,3593.4641,1.7897086E-2,0.0,0.0,117576.62,0.1783917,114391.98,0.97290611,32.710472
52926,436365.34,38.599998,1.7820868,208887.41,1.0403544,55324.391,0.26485142,227477.95,0.34513813,122327.55,0.53775328,1.0889927
53395,41605.738,2.5999999,0.12003694,28500.133,0.14194363,2919.6907,0.10244121,13105.605,0.01988432,4491.8315,0.34271508,0.45982751
70680,3659519.8,18.733334,0.86488152,1573314.4,7.8358216,1558066.6,0.99030787,2086205.4,3.1652699,992746.44,0.47586203,1.3259932
78659,192595.45,21.266666,0.98184055,98181.383,0.48898795,85344.805,0.86924767,94414.07,0.14324859,0.0,0.0,0.96161926
81626,207818.36,11.933333,0.55093873,8684.208,4.3251306E-2,7486.3857,0.86196971,199134.16,0.30213389,68275.844,0.34286183,22.927967
85327,45472.316,5.7333331,0.26469681,3818.0571,1.9015662E-2,3818.0571,0.99973816,41654.258,6.3199416E-2,35635.199,0.85547894,10.906948
85635,23207.797,0.133333,6.1557246E-3,23207.797,0.11558539,23207.797,0.99995691,0.0,0.0,0.0,0.0,0.0
104032,296745.38,4.5999999,0.21237303,1647.0054,8.2028359E-3,0.0,0.0,295098.34,0.44773439,273253.09,0.92596978,179.06395
114348,774417.5,36.599998,1.6897507,134694.34,0.67083907,17218.688,0.12783432,639723.19,0.97061223,345320.03,0.53979516,4.7494087
115617,836676.88,6.2666659,0.28931975,52404.699,0.26099926,52404.699,0.99998093,784272.13,1.1899273,509201.5,0.64926553,14.965398
117556,895025.69,51.599998,2.3822715,158636.52,0.79008204,150850.67,0.95091426,736389.19,1.1172775,587531.63,0.79785365,4.6419611
126081,2082251.1,38.866665,1.7943982,581692.19,2.8970916,544260.25,0.93564832,1500558.9,2.2767048,970085.88,0.64648265,2.5796397
126935,348270.09,40.066666,1.8497999,39113.988,0.19480544,24106.164,0.61628968,309156.09,0.46906334,92980.914,0.30075619,7.9037762
127946,151012.75,4.8000002,0.22160664,0.0,0.0,0.0,0.0,151012.75,0.22912227,127568.02,0.84474432,151012.75
137367,1342122.6,11.533333,0.53247154,214709.55,1.0693512,5090.7427,2.3709793E-2,1127413.0,1.7105538,1003924.4,0.89046645,5.2508507
168767,1754572.3,34.933334,1.6128039,496737.22,2.4739773,388019.38,0.78113455,1257835.0,1.9084349,610019.0,0.48497498,2.5321889
172390,1876033.4,23.733334,1.0957217,1001213.9,4.9865007,788765.63,0.78780854,874819.5,1.3273093,92681.461,0.1059434,0.87375802
174467,895335.94,18.266666,0.8433364,338108.13,1.6839323,253039.84,0.74839699,557227.81,0.84544712,408981.28,0.73395568,1.6480709
177299,9799292.0,23.266666,1.0741767,4897399.0,24.391275,4810003.0,0.98215437,4901893.0,7.4373379,160208.66,3.2683011E-2,1.0009174
186730,2488140.3,14.866666,0.68636501,1158084.0,5.7677851,522699.47,0.4513481,1330056.3,2.0180116,1002127.6,0.753447,1.1484962
189257,2738390.0,28.4,1.3111727,779692.13,3.8832216,339732.19,0.43572551,1958698.0,2.9718106,914003.75,0.46663821,2.5121396
199565,689654.13,11.066666,0.51092643,344462.09,1.7155778,78756.781,0.22863634,345192.03,0.52373838,256558.45,0.74323183,1.0021162
214804,8044840.5,67.199997,3.102493,4058341.8,20.212387,2291433.0,0.56462288,3986498.8,6.0484667,756574.19,0.18978408,0.98229724
218079,889564.75,20.6,0.95106184,61987.273,0.30872482,18566.236,0.29951209,827577.5,1.2556318,523298.38,0.63232476,13.350549
225025,3103787.3,52.0,2.4007387,285979.94,1.4243102,0.0,0.0,2817807.3,4.2752838,1277926.1,0.45351776,9.8531294
232342,229025.25,7.5333328,0.3477993,41025.395,0.20432512,36533.563,0.89048922,187999.86,0.2852405,131910.13,0.70164639,4.5824122
251590,331664.16,32.933334,1.5204679,0.0,0.0,0.0,0.0,331664.16,0.50321341,130263.12,0.39275491,331664.16
263605,235904.98,6.4666662,0.29855338,63035.367,0.31394482,63035.367,0.99998415,172869.61,0.26228431,146283.98,0.84620506,2.742379
272657,2071119.6,32.866665,1.5173899,881072.75,4.3881431,597413.63,0.67805171,1190046.9,1.8055841,844164.88,0.70935374,1.3506778
277885,826928.75,20.0,0.92336106,93579.82,0.46607009,37431.93,0.39999574,733348.94,1.1126647,394023.47,0.5372926,7.8365302
279454,4142509.3,42.400002,1.9575254,2033877.4,10.129635,255285.77,0.12551673,2108632.0,3.1992962,1653952.3,0.78437179,1.0367543
280339,774294.06,39.799999,1.8374884,268312.06,1.3363162,249895.56,0.93135816,505982.03,0.76769507,323112.41,0.63858348,1.8857896
281727,1535386.8,24.733334,1.1418898,43421.039,0.21625653,29945.543,0.68963927,1491965.6,2.2636669,1150058.6,0.77083397,34.359642
293048,699532.94,27.666666,1.2773161,215233.59,1.0719613,119782.17,0.55651915,484299.34,0.7347973,181170.55,0.37408715,2.2500999
302489,1101969.5,91.800003,4.2382274,275934.72,1.3742805,72617.945,0.2631698,826034.81,1.2532912,155716.83,0.18851098,2.993577
307854,4.3394588E+7,92.400002,4.2659278,2.1484672E+7,107.00344,3353963.3,0.15610957,2.1909914E+7,33.24255,1.7784358E+7,0.81170368,1.0197928
308038,1725680.0,38.133331,1.7605417,632310.63,3.1491947,342277.56,0.5413115,1093369.4,1.6589013,513191.75,0.46936682,1.7291621
312146,614051.06,20.0,0.92336106,48826.211,0.24317674,48826.211,0.9999795,565224.88,0.85758054,418339.25,0.74012762,11.576021
324850,341049.81,11.066666,0.51092643,51656.063,0.25727069,44169.68,0.85505593,289393.75,0.43907917,154219.55,0.53290373,5.6022105
331590,80819.641,1.933333,8.9258216E-2,449.18332,2.2371374E-3,449.18332,0.99777865,80370.461,0.1219411,75462.773,0.93892503,178.52829
340557,1463917.6,36.799999,1.6989843,706729.81,3.5198359,555340.13,0.78578734,757187.88,1.1488341,206148.13,0.27225456,1.071395
350821,451485.09,16.6,0.76638967,0.0,0.0,0.0,0.0,451485.09,0.68501031,421333.78,0.93321538,451485.09
353313,324439.16,19.266666,0.88950443,0.0,0.0,0.0,0.0,324439.16,0.49225134,196143.31,0.6045593,324439.16
361458,3675775.5,72.466667,3.3456447,1354600.1,6.7465253,74863.859,5.5266347E-2,2321175.5,3.521775,370126.94,0.15945661,1.7135489
364063,1820036.5,28.6,1.3204063,461094.0,2.2964578,266215.88,0.5773558,1358942.5,2.0618391,521052.47,0.38342467,2.9472072
368517,2477639.0,15.666666,0.72329944,1215993.3,6.0561996,109675.55,9.0194136E-2,1261645.8,1.9142166,305369.69,0.24204057,1.0375425
370258,3.6821896E+7,78.066666,3.6041858,1.3624947E+7,67.858437,840039.88,6.1654538E-2,2.319695E+7,35.19529,6833423.5,0.29458284,1.7025349
374768,5704511.5,57.0,2.6315789,1638858.9,8.1622629,0.0,0.0,4065652.8,6.1685619,1543393.4,0.37961751,2.4807813
378318,882562.88,37.333332,1.7236073,202495.58,1.00852,94178.734,0.46508804,680067.31,1.0318239,338085.19,0.49713418,3.3584139
384494,3402822.0,55.133331,2.5453985,663859.88,3.306324,492379.59,0.74169099,2738962.0,4.1556568,1829223.5,0.66785258,4.1258073
390759,1965508.3,29.533333,1.3634964,401174.47,1.9980314,390564.75,0.97355098,1564333.8,2.3734663,1153801.8,0.73756707,3.8993754
402290,468374.91,19.333332,0.8925823,158861.11,0.79120058,154069.81,0.96983367,309513.78,0.46960604,237318.44,0.76674348,1.9483173
409257,148273.5,2.4000001,0.11080332,74746.43,0.37227121,46415.594,0.62096578,73527.078,0.11155806,66479.109,0.90413231,0.98367363
418693,293017.16,5.1333332,0.23699598,0.0,0.0,0.0,0.0,293017.16,0.44457671,291969.06,0.99641967,293017.16
421322,1480019.8,30.533333,1.4096645,787644.19,3.9228263,617141.88,0.78352779,692375.56,1.0504984,150850.67,0.21787374,0.87904501
440719,1160731.9,17.866667,0.82486916,537235.63,2.6756778,132680.31,0.24696812,623496.25,0.94599205,569863.69,0.91397953,1.1605617
450407,1.6301562E+7,484.13333,22.351492,8267309.5,41.174961,579700.81,7.0119634E-2,8034253.0,12.189873,2168955.8,0.26996356,0.97180974
452658,312680.44,5.8000002,0.2677747,4416.9683,0.02199851,0.0,0.0,308263.47,0.467709,289348.81,0.93863821,69.77494
461627,756290.06,36.0,1.6620499,331171.47,1.6493845,285979.94,0.86353785,425118.59,0.645006,260376.5,0.61247826,1.2836773
483137,313600.13,15.533333,0.71714371,0.0,0.0,0.0,0.0,313600.13,0.47580594,243756.73,0.77728271,313600.13
493506,5499193.0,47.933334,2.2129886,2162499.8,10.770232,1044405.0,0.48296168,3336693.3,5.0625572,1553724.5,0.46564785,1.542979
496551,1973783.1,56.933334,2.6285012,144187.8,0.71812081,35934.652,0.24921946,1829595.4,2.7759314,1186891.6,0.64871776,12.688887
498222,372297.34,18.266666,0.8433364,164984.97,0.82170022,145834.8,0.8839224,207312.38,0.31454217,125097.52,0.60342228,1.2565454
505638,510596.0,9.8666658,0.45552474,256172.34,1.2758548,5405.1714,2.1099662E-2,254423.64,0.38602117,109151.51,0.4290131,0.99316984
506931,745195.25,21.133333,0.97568482,197281.25,0.98255038,179987.69,0.91233599,547914.0,0.83131582,331646.91,0.60528898,2.7773101
507059,396911.13,19.066666,0.88027084,145610.2,0.72520506,65880.195,0.45243904,251300.92,0.38128328,114541.71,0.4557932,1.7258351
513162,357806.41,23.6,1.089566,9634.9785,4.7986578E-2,7561.25,0.78468937,348171.44,0.52825886,107803.96,0.30962807,36.132442
516081,3073131.5,58.0,2.677747,1373215.0,6.8392358,819100.44,0.59648329,1699916.4,2.5791774,386428.53,0.22732195,1.237909
521757,1890190.4,42.133331,1.9452139,400970.84,1.9970171,250344.75,0.62434494,1489219.5,2.2595003,1036714.8,0.69614589,3.7140255
523568,979025.38,3.4000001,0.15697138,77858.414,0.38777032,0.0,0.0,901166.94,1.3672847,620771.13,0.68885171,11.574284
529117,805246.81,23.466665,1.0834103,155432.34,0.77412379,29346.633,0.18880525,649814.5,0.98592311,422831.09,0.65069407,4.1806636
529504,3757418.5,8.1999998,0.37857804,805535.13,4.0119314,0.0,0.0,2951883.5,4.4787092,1234355.3,0.41815841,3.6644955
531522,1529836.0,25.4,1.1726685,289273.97,1.4407159,128017.2,0.44254506,1240562.0,1.8822277,618674.94,0.49870497,4.2885218
541452,887925.88,55.866665,2.5792551,430722.03,2.1451917,34736.832,8.0647722E-2,457203.88,0.69368702,185510.39,0.40574896,1.0614799
543628,3557358.0,26.866667,1.2403816,1082592.0,5.3918009,102862.95,0.09501534,2474766.0,3.7548087,807331.88,0.3262254,2.2859616
544719,2906769.0,24.733334,1.1418898,1404353.1,6.9943175,1190560.0,0.8477633,1502415.9,2.2795222,1137182.0,0.7569018,1.069827
546786,2341955.8,32.733334,1.5112342,729452.5,3.6330051,224366.98,0.30758232,1612503.3,2.4465508,1057976.1,0.65610749,2.2105634
547551,4094917.0,20.799999,0.9602955,2059699.4,10.25824,1466059.0,0.71178263,2035217.6,3.087909,743697.56,0.36541411,0.9881134
555494,843005.63,5.4000001,0.24930748,414446.31,2.0641313,414446.31,0.99999762,428559.28,0.65022635,404564.28,0.94400793,1.03405
559917,1545793.1,54.400002,2.5115421,322155.66,1.6044818,139246.78,0.43223312,1223637.5,1.856549,632449.88,0.51686007,3.7982683
561689,962381.88,16.200001,0.74792242,105108.86,0.52348995,105108.86,0.99999046,857273.06,1.3006871,739556.44,0.86268377,8.1559715
568609,288817.28,4.7333331,0.21852876,110633.81,0.55100673,41923.762,0.37893826,178183.47,0.2703467,156615.2,0.87894976,1.6105552
570018,5697758.5,67.133331,3.0994153,477331.97,2.3773303,373570.66,0.78262067,5220426.5,7.9206285,4547975.0,0.87118822,10.936656
571978,788678.19,35.733334,1.6497383,43196.449,0.21513797,35859.789,0.83013678,745481.75,1.1310731,340708.03,0.45703006,17.25754
573558,621774.94,31.200001,1.4404432,248679.78,1.2385384,146134.25,0.5876379,373095.13,0.56607407,188507.2,0.50525099,1.5002974
581281,21050.527,5.5999999,0.25854108,149.728,7.4571354E-4,149.728,0.99336553,20900.799,3.1711482E-2,3144.2834,0.15043123,138.66566
581481,350084.06,8.666666,0.40012309,8983.6631,0.04474273,8235.0244,0.91656464,341100.41,0.51753044,196866.5,0.57714945,37.964741
589185,1715809.0,26.733334,1.2342259,704211.38,3.507293,62885.645,8.9299254E-2,1011597.6,1.5348341,905553.25,0.89517057,1.4364949
600423,282163.31,17.0,0.78485686,4779.3096,2.3803135E-2,1647.0054,0.34453949,277384.0,0.42085749,190685.3,0.68743908,58.026367
603086,880813.5,26.866667,1.2403816,2994.5547,1.4914244E-2,0.0,0.0,877818.94,1.3318601,663743.0,0.75612658,293.04053
606275,1604087.4,18.533333,0.85564786,52030.383,0.25913498,14972.771,0.28776425,1552057.0,2.3548396,769600.5,0.49585807,29.829248
608230,527225.13,10.866666,0.50169277,262996.75,1.3098434,175480.89,0.66723347,264228.34,0.40089726,61837.547,0.23402981,1.0046792
610375,629875.19,28.4,1.3111727,366282.94,1.8242557,222046.2,0.60621333,263592.25,0.39993212,52704.156,0.19994502,0.71963906
611788,362444.97,8.0666656,0.37242225,66479.109,0.3310962,66479.109,0.99998498,295965.84,0.44905061,289423.69,0.97789222,4.4519463
615526,2431629.0,56.266666,2.5977223,755900.38,3.7647278,494251.22,0.65385669,1675728.5,2.5424786,856592.31,0.51117575,2.2168612
615954,619360.63,20.200001,0.93259466,146718.19,0.73072338,33539.012,0.2285932,472642.47,0.71711099,345571.59,0.73114645,3.2214084
621247,445552.28,24.266666,1.1203446,10129.081,0.05044743,7785.8418,0.7685864,435423.19,0.66064054,240283.05,0.55183667,42.983192
624112,433119.19,15.466666,0.71406585,2995.3035,1.4917973E-2,0.0,0.0,430123.88,0.65260023,392586.09,0.91272587,143.55151
630248,724110.0,16.6,0.76638967,131100.09,0.65293813,28747.721,0.21927904,593009.88,0.89973706,272576.31,0.45964807,4.5233026
631701,742525.44,31.4,1.4496769,10630.669,5.2945565E-2,10630.669,0.99990594,731894.75,1.1104584,630802.88,0.8618753,68.841003
635849,568286.25,23.6,1.089566,72206.195,0.35961971,0.0,0.0,496080.03,0.75267136,350213.16,0.70595956,6.8702302
648872,2.0601918E+7,234.13333,10.80948,9946442.0,49.537804,2132542.0,0.21440248,1.0655476E+7,16.166891,2059953.4,0.19332343,1.0712851
662157,1024613.8,24.333332,1.1234226,319294.38,1.5902312,68126.117,0.21336393,705319.38,1.0701373,455621.47,0.64597797,2.2089872
676214,412499.91,11.6,0.5355494,0.0,0.0,0.0,0.0,412499.91,0.62586045,394981.72,0.95752937,412499.91
683284,3018518.3,36.866665,1.7020621,1539201.0,7.6659212,1389473.3,0.90272313,1479317.4,2.2444763,897318.25,0.60657543,0.96109378
701335,1.0846274E+7,79.333336,3.6626654,5407445.5,26.93154,1586739.5,0.29343599,5438828.0,8.251996,2673987.3,0.4916476,1.0058033
708350,1056667.8,44.799999,2.0683286,353417.31,1.7601789,340361.06,0.96305436,703250.44,1.0669981,553633.25,0.78724796,1.9898529
735380,795153.0,22.799999,1.0526316,317599.44,1.5817897,60789.453,0.1914023,477553.53,0.72456229,260975.42,0.54648298,1.5036299
750056,660820.44,18.6,0.85872579,334633.19,1.6666256,223094.3,0.66668111,326187.22,0.49490356,70072.57,0.21482252,0.97475749
760558,851812.94,18.799999,0.86795938,0.0,0.0,0.0,0.0,851812.94,1.2924027,585600.5,0.68747467,851812.94
771111,707323.75,19.333332,0.8925823,196023.17,0.97628456,176004.94,0.89787364,511300.59,0.77576458,225489.95,0.44101164,2.6083548
772334,2619370.5,45.933334,2.1206524,874320.44,4.3545136,637016.56,0.72858393,1745050.0,2.647656,1027880.8,0.58902621,1.9958906
775341,2335358.5,16.333332,0.75407815,633324.0,3.1542416,0.0,0.0,1702034.5,2.582391,869618.56,0.51092857,2.6874583
